tau,threshold_rate,algorithm,runtime_seconds,mup_count
1,0.1250000000,PATTERN-BREAKER,0.0007433000000,0
1,0.1250000000,PATTERN-COMBINER,0.0007599000000,0
1,0.1250000000,DEEPDIVER,0.0004636000000,0
2,0.2500000000,PATTERN-BREAKER,0.0002057000000,8
2,0.2500000000,PATTERN-COMBINER,0.0005846000000,8
2,0.2500000000,DEEPDIVER,0.0004464000000,8
3,0.3750000000,PATTERN-BREAKER,0.0001206000000,12
3,0.3750000000,PATTERN-COMBINER,0.0004269000000,12
3,0.3750000000,DEEPDIVER,0.0002294000000,12
